area_type,availability,location,size,society,total_sqft,bath,balcony,price
Carpet Area,Under Construction,Brahmpuri,4 BHK,City Heights,1205,4,3,170.32
Carpet Area,Ready To Move,Civil Lines,1 BHK,Emerald Greens,542,1,0,53.6
Super built-up Area,Ready To Move,Sirsi,5 BHK,Urban Estate,1958,5,3,230.21
Plot Area,Ready To Move,Vaishali Nagar,5 BHK,Metro Heights,3009,5,3,272.61
Plot Area,Ready To Move,Hanuman Nagar,2 BHK,Zenith Society,1733,2,1,181.48
Super built-up Area,Under Construction,Bapu Nagar,4 BHK,Cosmopolitan Society,2883,4,3,363.59
Built-up Area,Ready To Move,Civil Lines,5 BHK,Blue Haven,1327,4,3,28.12
Super built-up Area,Ready To Move,Bapu Nagar,2 BHK,City Heights,2889,2,0,318.75
Super built-up Area,Ready To Move,Vaishali Nagar,1 BHK,Green Meadows,2815,2,1,337.61
Plot Area,Ready To Move,Dahar Ka Balaji,3 BHK,Green Meadows,4743,2,2,666.99
Plot Area,Ready To Move,Sirsi,1 BHK,Zenith Society,1197,1,0,89.43
Super built-up Area,Under Construction,Malviya Nagar,3 BHK,Sunrise Apartments,2283,3,3,274.79
Plot Area,Ready To Move,Tagore Nagar,3 BHK,Golden Horizon,3287,2,3,137.58
Super built-up Area,Ready To Move,Ajmer Road,1 BHK,Royal Enclave,1035,2,0,89.61
Plot Area,Ready To Move,Gandhi Path West,3 BHK,Elite Society,2508,2,2,337.03
Super built-up Area,Ready To Move,Manchwa,3 BHK,Sapphire Residency,1438,2,3,215.53
Plot Area,Under Construction,Shyam Nagar,1 BHK,Urban Estate,2055,2,0,149.8
Super built-up Area,Ready To Move,Mansarovar Ext.,2 BHK,Zenith Society,919,3,1,131.34
Super built-up Area,Ready To Move,Jawahar Nagar,1 BHK,Park View,1027,1,0,142.55
Built-up Area,Under Construction,Manchwa,5 BHK,Raj Villas,1285,5,3,54.47
Super built-up Area,Under Construction,Vaishali Nagar,3 BHK,Blue Haven,1079,3,3,108.1
Plot Area,Under Construction,Vaishali Nagar,5 BHK,Metro Heights,1056,5,3,73.05
Plot Area,Under Construction,Parasrampuri,2 BHK,Shyam Residency,2324,3,1,92.82
Super built-up Area,Under Construction,Sirsi,5 BHK,Sapphire Residency,2468,5,3,84.05
Plot Area,Ready To Move,Brahmpuri,2 BHK,Zenith Society,4922,1,2,273.18
Super built-up Area,Ready To Move,Tagore Nagar,3 BHK,Zenith Society,2023,3,3,59.44
Plot Area,Ready To Move,Raja Park,5 BHK,Heritage Homes,3570,5,3,245.02
Plot Area,Ready To Move,Malviya Nagar,5 BHK,City Heights,1943,4,3,122.92
Super built-up Area,Ready To Move,Raja Park,2 BHK,Sapphire Residency,1151,2,1,113.64
Carpet Area,Ready To Move,Sirsi,3 BHK,Green Meadows,1353,2,3,45.16
Plot Area,Ready To Move,Gandhi Path West,4 BHK,Royal Enclave,4716,5,3,170.14
Super built-up Area,Ready To Move,Civil Lines,5 BHK,Zenith Society,2101,5,3,52.02
Super built-up Area,Ready To Move,Maniyawas,3 BHK,Green Meadows,1686,2,3,223.25
Built-up Area,Ready To Move,Sita Vihar,3 BHK,Emerald Greens,1889,2,2,263.32
Carpet Area,Under Construction,Brahmpuri,2 BHK,Emerald Greens,2016,3,2,78.77
Super built-up Area,Ready To Move,Tagore Nagar,4 BHK,Elite Society,2856,4,3,331.54
Super built-up Area,Ready To Move,Ajmer Road,2 BHK,Urban Estate,2273,2,0,270.27
Super built-up Area,Ready To Move,Sirsi,3 BHK,Raj Villas,1838,4,2,40.0
Super built-up Area,Under Construction,Bapu Nagar,5 BHK,Urban Estate,1742,5,3,73.7
Super built-up Area,Ready To Move,Hanuman Nagar,5 BHK,City Heights,1944,4,3,260.04
Plot Area,Ready To Move,Raja Park,3 BHK,Zenith Society,4339,3,2,552.72
Super built-up Area,Under Construction,Hanuman Nagar,4 BHK,Raj Villas,1338,5,2,142.79
Super built-up Area,Ready To Move,Shyam Nagar,3 BHK,Green Meadows,1981,3,3,46.43
Super built-up Area,Ready To Move,Sita Vihar,1 BHK,Shyam Residency,2361,2,0,213.01
Super built-up Area,Ready To Move,Sita Vihar,4 BHK,Pearl Gardens,1462,5,3,127.51
Built-up Area,Ready To Move,Manchwa,4 BHK,Shyam Residency,2061,3,3,200.08
Super built-up Area,Ready To Move,Tagore Nagar,5 BHK,Green Meadows,3179,4,3,332.32
Super built-up Area,Ready To Move,Tagore Nagar,1 BHK,Emerald Greens,3101,2,0,346.6
Built-up Area,Ready To Move,Gandhi Path West,3 BHK,Urban Estate,1805,4,1,228.44
Super built-up Area,Ready To Move,Sirsi,2 BHK,Emerald Greens,710,2,0,57.08
Plot Area,Under Construction,Mansarovar Ext.,4 BHK,Luxury Heights,2826,4,3,216.34
Super built-up Area,Under Construction,Gandhi Path West,3 BHK,Metro Heights,1010,2,2,105.46
Built-up Area,Under Construction,Brahmpuri,1 BHK,Emerald Greens,2725,1,0,275.8
Built-up Area,Ready To Move,Mansarovar Ext.,3 BHK,Park View,1678,3,1,212.94
Super built-up Area,Under Construction,Jawahar Nagar,1 BHK,Royal Enclave,1410,1,0,43.67
Super built-up Area,Ready To Move,Manchwa,4 BHK,Sunrise Apartments,1823,5,2,108.1
Plot Area,Under Construction,Parasrampuri,2 BHK,Emerald Greens,1887,1,0,190.43
Carpet Area,Under Construction,Shyam Nagar,3 BHK,Park View,984,4,3,36.22
Built-up Area,Ready To Move,Chokdi Gangapol,1 BHK,Emerald Greens,2141,2,1,97.37
Super built-up Area,Ready To Move,Mansarovar Ext.,1 BHK,City Heights,1171,1,1,95.99
Plot Area,Ready To Move,Raja Park,2 BHK,Park View,3057,3,1,452.57
Carpet Area,Under Construction,Sirsi,5 BHK,Park View,956,4,3,89.23
Super built-up Area,Ready To Move,Malviya Nagar,3 BHK,Sapphire Residency,1555,2,2,126.29
Carpet Area,Ready To Move,Vaishali Nagar,5 BHK,City Heights,609,4,3,17.65
Carpet Area,Ready To Move,Vaishali Nagar,3 BHK,Sapphire Residency,896,3,2,113.46
Plot Area,Under Construction,Parasrampuri,2 BHK,Zenith Society,3645,3,0,379.09
Super built-up Area,Under Construction,Parasrampuri,2 BHK,Luxury Heights,2109,1,1,96.33
Plot Area,Ready To Move,Malviya Nagar,4 BHK,Pearl Gardens,4244,5,3,160.79
Super built-up Area,Ready To Move,Shyam Nagar,2 BHK,Park View,2156,2,0,118.68
Super built-up Area,Ready To Move,Malviya Nagar,3 BHK,Metro Heights,793,4,1,71.68
Plot Area,Ready To Move,Mansarovar Ext.,4 BHK,Prime Residency,1241,5,3,85.58
Built-up Area,Ready To Move,Shyam Nagar,3 BHK,Golden Horizon,1007,3,2,26.4
Built-up Area,Ready To Move,Dahar Ka Balaji,5 BHK,Golden Horizon,2384,5,3,112.91
Plot Area,Ready To Move,Civil Lines,2 BHK,Blue Haven,2525,1,2,157.87
Plot Area,Ready To Move,Vaishali Nagar,1 BHK,Golden Horizon,3489,1,1,101.74
Carpet Area,Ready To Move,Sita Vihar,2 BHK,Cosmopolitan Society,1578,1,0,211.65
Plot Area,Under Construction,Dahar Ka Balaji,3 BHK,Prime Residency,1582,3,1,222.63
Super built-up Area,Ready To Move,Sita Vihar,2 BHK,Green Meadows,2842,1,1,62.42
Built-up Area,Under Construction,Maniyawas,3 BHK,Prime Residency,1237,2,2,114.02
Super built-up Area,Ready To Move,Civil Lines,2 BHK,Park View,1376,2,2,103.72
Plot Area,Under Construction,Tagore Nagar,1 BHK,Blue Haven,4267,1,0,274.15
Super built-up Area,Under Construction,Malviya Nagar,3 BHK,Park View,2645,3,1,127.58
Plot Area,Ready To Move,Bapu Nagar,5 BHK,Luxury Heights,3014,5,3,276.74
Built-up Area,Under Construction,Mansarovar Ext.,4 BHK,Elite Society,2573,4,3,248.38
Built-up Area,Ready To Move,Vaishali Nagar,1 BHK,Emerald Greens,2180,2,1,270.49
Carpet Area,Ready To Move,Chokdi Gangapol,5 BHK,Zenith Society,541,5,3,66.72
Carpet Area,Under Construction,Dahar Ka Balaji,5 BHK,Sunrise Apartments,1197,5,3,134.24
Super built-up Area,Ready To Move,Jawahar Nagar,1 BHK,Cosmopolitan Society,1863,1,1,165.7
Super built-up Area,Under Construction,Manchwa,3 BHK,Urban Estate,1130,4,1,161.42
Built-up Area,Under Construction,Dahar Ka Balaji,3 BHK,Sunrise Apartments,2254,3,1,299.19
Built-up Area,Ready To Move,Malviya Nagar,5 BHK,Emerald Greens,910,5,3,58.89
Super built-up Area,Ready To Move,Raja Park,2 BHK,Pearl Gardens,1514,3,1,90.89
Plot Area,Ready To Move,Brahmpuri,1 BHK,Zenith Society,3880,1,0,307.28
Super built-up Area,Ready To Move,Raja Park,1 BHK,Heritage Homes,872,2,1,18.41
Plot Area,Ready To Move,Maniyawas,3 BHK,Sapphire Residency,1995,2,3,119.36
Super built-up Area,Ready To Move,Hanuman Nagar,4 BHK,Shyam Residency,2679,4,2,333.24
Super built-up Area,Ready To Move,Civil Lines,1 BHK,Cosmopolitan Society,2901,2,0,93.7
Super built-up Area,Ready To Move,Dahar Ka Balaji,5 BHK,Royal Enclave,1448,5,3,64.16
Super built-up Area,Under Construction,Manchwa,5 BHK,Sunrise Apartments,1807,5,3,102.57
Built-up Area,Under Construction,Malviya Nagar,5 BHK,Golden Horizon,2263,5,3,203.47
Super built-up Area,Ready To Move,Maniyawas,5 BHK,Sapphire Residency,775,5,3,92.02
Carpet Area,Ready To Move,Shyam Nagar,2 BHK,Emerald Greens,1658,2,1,188.1
Carpet Area,Ready To Move,Sirsi,5 BHK,Golden Horizon,1560,5,3,137.94
Plot Area,Ready To Move,Jawahar Nagar,2 BHK,Raj Villas,976,1,0,42.27
Super built-up Area,Ready To Move,Gandhi Path West,1 BHK,City Heights,2689,1,0,307.12
Built-up Area,Ready To Move,Sita Vihar,3 BHK,Royal Enclave,895,4,3,125.62
Super built-up Area,Ready To Move,Shyam Nagar,4 BHK,Elite Society,1517,4,2,204.97
Super built-up Area,Ready To Move,Raja Park,3 BHK,Shyam Residency,1294,2,1,114.86
Plot Area,Under Construction,Dahar Ka Balaji,3 BHK,Park View,1018,2,1,100.51
Carpet Area,Under Construction,Maniyawas,4 BHK,Sunrise Apartments,2083,4,2,277.65
Built-up Area,Ready To Move,Maniyawas,4 BHK,City Heights,1584,3,3,224.77
Plot Area,Ready To Move,Bapu Nagar,4 BHK,Luxury Heights,3296,3,3,418.11
Plot Area,Ready To Move,Tagore Nagar,4 BHK,Heritage Homes,2511,3,3,128.65
Plot Area,Under Construction,Parasrampuri,4 BHK,Emerald Greens,1193,4,2,35.56
Super built-up Area,Under Construction,Shyam Nagar,5 BHK,Shyam Residency,3027,5,3,204.88
Carpet Area,Ready To Move,Raja Park,2 BHK,Heritage Homes,1490,1,0,222.94
Super built-up Area,Under Construction,Gandhi Path West,2 BHK,Elite Society,1109,1,1,66.03
Super built-up Area,Ready To Move,Tagore Nagar,1 BHK,Emerald Greens,1056,1,0,117.34
Plot Area,Under Construction,Ajmer Road,5 BHK,Shyam Residency,4530,5,3,129.2
Carpet Area,Ready To Move,Manchwa,4 BHK,Cosmopolitan Society,1926,4,3,40.6
Built-up Area,Under Construction,Sita Vihar,4 BHK,Golden Horizon,1239,5,2,56.17
Super built-up Area,Ready To Move,Chokdi Gangapol,4 BHK,Elite Society,2421,5,3,250.5
Plot Area,Ready To Move,Chokdi Gangapol,3 BHK,Royal Enclave,3403,2,3,397.79
Super built-up Area,Ready To Move,Dahar Ka Balaji,1 BHK,Raj Villas,2377,1,0,343.19
Built-up Area,Ready To Move,Civil Lines,1 BHK,Pearl Gardens,1605,1,0,191.43
Super built-up Area,Ready To Move,Dahar Ka Balaji,3 BHK,Raj Villas,927,3,1,28.54
Plot Area,Ready To Move,Raja Park,1 BHK,Royal Enclave,2577,1,0,222.28
Carpet Area,Ready To Move,Jawahar Nagar,1 BHK,City Heights,783,1,1,22.45
Plot Area,Ready To Move,Dahar Ka Balaji,2 BHK,Zenith Society,4441,1,0,659.84
Built-up Area,Ready To Move,Sirsi,2 BHK,Golden Horizon,1475,3,0,160.88
Super built-up Area,Ready To Move,Sita Vihar,1 BHK,Pearl Gardens,3275,1,0,465.63
Plot Area,Ready To Move,Brahmpuri,4 BHK,Pearl Gardens,4247,5,3,232.16
Built-up Area,Ready To Move,Brahmpuri,4 BHK,Blue Haven,2352,3,2,352.17
Super built-up Area,Ready To Move,Malviya Nagar,5 BHK,Golden Horizon,958,4,3,51.84
Super built-up Area,Ready To Move,Sirsi,1 BHK,Green Meadows,1422,1,1,189.52
Built-up Area,Ready To Move,Malviya Nagar,5 BHK,Park View,2989,5,3,195.11
Built-up Area,Ready To Move,Sirsi,2 BHK,City Heights,1498,1,1,156.44
Super built-up Area,Under Construction,Vaishali Nagar,4 BHK,Zenith Society,2236,4,3,219.71
Carpet Area,Ready To Move,Raja Park,2 BHK,Metro Heights,1289,1,1,59.01
Plot Area,Ready To Move,Raja Park,5 BHK,Shyam Residency,986,5,3,69.58
Super built-up Area,Ready To Move,Chokdi Gangapol,4 BHK,Emerald Greens,2295,4,3,301.81
Super built-up Area,Ready To Move,Sita Vihar,4 BHK,Elite Society,903,5,3,54.71
Plot Area,Under Construction,Brahmpuri,2 BHK,Green Meadows,982,2,2,51.88
Plot Area,Ready To Move,Dahar Ka Balaji,4 BHK,Metro Heights,4243,5,2,434.6
Built-up Area,Under Construction,Civil Lines,1 BHK,Prime Residency,1334,1,0,122.73
Built-up Area,Ready To Move,Raja Park,4 BHK,Elite Society,2174,4,3,63.56
Carpet Area,Under Construction,Bapu Nagar,2 BHK,Sapphire Residency,2406,2,1,199.32
Carpet Area,Ready To Move,Brahmpuri,1 BHK,Pearl Gardens,2210,1,0,257.41
Super built-up Area,Ready To Move,Manchwa,4 BHK,Raj Villas,1593,5,3,185.44
Built-up Area,Ready To Move,Jawahar Nagar,3 BHK,Urban Estate,1883,2,2,227.08
Built-up Area,Ready To Move,Jawahar Nagar,4 BHK,Golden Horizon,836,5,3,67.33
Plot Area,Under Construction,Parasrampuri,4 BHK,Golden Horizon,3368,4,3,224.18
Super built-up Area,Under Construction,Jawahar Nagar,1 BHK,Luxury Heights,2434,1,0,277.21
Plot Area,Ready To Move,Civil Lines,5 BHK,Park View,4254,5,3,337.44
Super built-up Area,Ready To Move,Jawahar Nagar,5 BHK,Prime Residency,1232,5,3,111.94
Plot Area,Ready To Move,Gandhi Path West,1 BHK,Heritage Homes,2924,1,0,186.32
Super built-up Area,Ready To Move,Sirsi,5 BHK,Sunrise Apartments,1794,5,3,267.46
Super built-up Area,Ready To Move,Sirsi,2 BHK,Blue Haven,1426,1,0,61.44
Built-up Area,Under Construction,Shyam Nagar,5 BHK,Elite Society,955,4,3,106.65
Super built-up Area,Ready To Move,Dahar Ka Balaji,2 BHK,Cosmopolitan Society,2275,2,1,51.94
Carpet Area,Ready To Move,Brahmpuri,1 BHK,Prime Residency,1525,2,0,206.89
Super built-up Area,Ready To Move,Manchwa,2 BHK,Sapphire Residency,3323,1,2,115.13
Plot Area,Ready To Move,Manchwa,4 BHK,Royal Enclave,3889,3,3,353.89
Plot Area,Under Construction,Vaishali Nagar,1 BHK,City Heights,1576,1,0,116.73
Carpet Area,Ready To Move,Sirsi,3 BHK,Pearl Gardens,929,3,1,108.36
Built-up Area,Ready To Move,Hanuman Nagar,2 BHK,Green Meadows,875,1,2,19.38
Super built-up Area,Ready To Move,Shyam Nagar,5 BHK,Raj Villas,2516,4,3,361.3
Plot Area,Under Construction,Sirsi,2 BHK,Sapphire Residency,2183,3,2,304.99
Plot Area,Ready To Move,Chokdi Gangapol,5 BHK,Shyam Residency,858,5,3,113.42
Plot Area,Ready To Move,Shyam Nagar,1 BHK,Blue Haven,4907,2,1,643.54
Plot Area,Under Construction,Raja Park,1 BHK,Park View,3225,2,0,363.74
Plot Area,Ready To Move,Maniyawas,4 BHK,Luxury Heights,4391,5,3,501.67
Carpet Area,Ready To Move,Tagore Nagar,3 BHK,Luxury Heights,1671,4,2,108.86
Plot Area,Under Construction,Jawahar Nagar,1 BHK,Royal Enclave,4139,1,0,481.2
Plot Area,Ready To Move,Malviya Nagar,1 BHK,Urban Estate,1605,1,1,136.32
Super built-up Area,Ready To Move,Tagore Nagar,2 BHK,Urban Estate,3085,2,0,360.38
Super built-up Area,Ready To Move,Hanuman Nagar,2 BHK,Pearl Gardens,1780,2,2,109.45
Super built-up Area,Ready To Move,Malviya Nagar,2 BHK,Sunrise Apartments,1244,3,2,138.01
Super built-up Area,Under Construction,Gandhi Path West,5 BHK,Pearl Gardens,1833,5,3,61.9
Super built-up Area,Ready To Move,Manchwa,5 BHK,Zenith Society,1395,5,3,165.59
Plot Area,Under Construction,Raja Park,2 BHK,Raj Villas,1052,3,2,141.15
Super built-up Area,Ready To Move,Brahmpuri,2 BHK,Raj Villas,2017,1,2,190.42
Super built-up Area,Ready To Move,Sirsi,3 BHK,Sapphire Residency,2000,2,2,198.09
Built-up Area,Ready To Move,Malviya Nagar,4 BHK,Shyam Residency,1557,5,3,230.28
Plot Area,Ready To Move,Hanuman Nagar,3 BHK,Luxury Heights,3746,3,1,105.73
Super built-up Area,Ready To Move,Maniyawas,2 BHK,Royal Enclave,2791,1,0,267.7
Built-up Area,Under Construction,Sirsi,4 BHK,Sapphire Residency,2594,3,3,358.37
Super built-up Area,Ready To Move,Maniyawas,4 BHK,Sapphire Residency,2636,5,2,306.88
Plot Area,Ready To Move,Mansarovar Ext.,4 BHK,Pearl Gardens,2848,4,3,312.53
Super built-up Area,Ready To Move,Raja Park,3 BHK,Sapphire Residency,2096,3,3,68.71
Super built-up Area,Ready To Move,Chokdi Gangapol,4 BHK,City Heights,3197,3,3,77.79
Carpet Area,Under Construction,Manchwa,4 BHK,Blue Haven,1723,3,3,231.61
Carpet Area,Under Construction,Tagore Nagar,3 BHK,Cosmopolitan Society,2007,2,2,238.64
Super built-up Area,Under Construction,Raja Park,1 BHK,Sapphire Residency,1731,2,0,150.3
Super built-up Area,Ready To Move,Mansarovar Ext.,2 BHK,Sapphire Residency,793,1,1,18.99
Super built-up Area,Under Construction,Raja Park,2 BHK,Green Meadows,1008,3,1,36.09
Built-up Area,Under Construction,Sirsi,3 BHK,Golden Horizon,2509,3,3,182.34
Plot Area,Ready To Move,Shyam Nagar,3 BHK,Cosmopolitan Society,2841,4,3,211.92
Plot Area,Under Construction,Civil Lines,3 BHK,Metro Heights,4314,3,1,378.05
Carpet Area,Ready To Move,Ajmer Road,2 BHK,Metro Heights,1704,1,2,99.9
Plot Area,Under Construction,Sita Vihar,5 BHK,Heritage Homes,996,5,3,103.6
Super built-up Area,Ready To Move,Ajmer Road,1 BHK,Park View,2904,2,1,232.28
Super built-up Area,Ready To Move,Gandhi Path West,1 BHK,Emerald Greens,1356,2,0,118.21
Super built-up Area,Ready To Move,Ajmer Road,1 BHK,Golden Horizon,2190,1,1,196.61
Plot Area,Under Construction,Malviya Nagar,3 BHK,Elite Society,2492,2,3,364.23
Super built-up Area,Under Construction,Malviya Nagar,3 BHK,Blue Haven,1309,2,3,153.88
Plot Area,Ready To Move,Bapu Nagar,1 BHK,Green Meadows,4600,2,1,407.7
Plot Area,Under Construction,Maniyawas,4 BHK,Green Meadows,1290,4,2,79.52
Built-up Area,Under Construction,Civil Lines,1 BHK,Heritage Homes,2487,1,0,303.37
Plot Area,Ready To Move,Gandhi Path West,3 BHK,Golden Horizon,3580,2,3,145.4
Built-up Area,Ready To Move,Mansarovar Ext.,1 BHK,Elite Society,1650,1,0,216.26
Built-up Area,Ready To Move,Shyam Nagar,3 BHK,Prime Residency,852,3,1,104.37
Super built-up Area,Ready To Move,Ajmer Road,2 BHK,Pearl Gardens,2199,1,2,164.39
Super built-up Area,Ready To Move,Parasrampuri,5 BHK,Emerald Greens,3121,5,3,431.76
Plot Area,Under Construction,Hanuman Nagar,4 BHK,Metro Heights,1812,5,3,57.56
Plot Area,Ready To Move,Vaishali Nagar,5 BHK,Pearl Gardens,3607,5,3,141.14
Plot Area,Ready To Move,Gandhi Path West,2 BHK,Park View,898,3,2,59.23
Super built-up Area,Under Construction,Jawahar Nagar,1 BHK,Emerald Greens,2671,1,0,78.4
Plot Area,Ready To Move,Shyam Nagar,3 BHK,Prime Residency,2133,2,3,249.25
Super built-up Area,Under Construction,Maniyawas,4 BHK,Metro Heights,1109,3,3,128.22
Built-up Area,Ready To Move,Manchwa,3 BHK,Emerald Greens,1231,3,2,83.78
Built-up Area,Ready To Move,Chokdi Gangapol,5 BHK,Prime Residency,2419,5,3,246.68
Built-up Area,Ready To Move,Raja Park,1 BHK,Metro Heights,1675,1,1,192.04
Plot Area,Ready To Move,Mansarovar Ext.,1 BHK,Sapphire Residency,2694,2,1,366.77
Super built-up Area,Ready To Move,Civil Lines,2 BHK,Metro Heights,3235,3,1,243.96
Built-up Area,Under Construction,Sita Vihar,4 BHK,Green Meadows,1978,3,3,292.44
Carpet Area,Under Construction,Jawahar Nagar,1 BHK,Raj Villas,2437,1,0,271.54
Super built-up Area,Ready To Move,Tagore Nagar,4 BHK,Raj Villas,1653,4,2,47.39
Super built-up Area,Ready To Move,Sirsi,3 BHK,Elite Society,1278,2,3,36.32
Plot Area,Ready To Move,Hanuman Nagar,4 BHK,Pearl Gardens,2771,3,3,129.79
Built-up Area,Ready To Move,Gandhi Path West,2 BHK,Prime Residency,838,3,2,89.78
Super built-up Area,Under Construction,Jawahar Nagar,2 BHK,Golden Horizon,1692,1,0,61.1
Super built-up Area,Ready To Move,Raja Park,2 BHK,Cosmopolitan Society,1768,1,2,122.67
Super built-up Area,Ready To Move,Chokdi Gangapol,1 BHK,Cosmopolitan Society,905,2,1,83.58
Carpet Area,Under Construction,Bapu Nagar,2 BHK,Golden Horizon,2309,2,0,157.71
Super built-up Area,Ready To Move,Parasrampuri,4 BHK,Sunrise Apartments,909,3,3,117.75
Super built-up Area,Under Construction,Chokdi Gangapol,3 BHK,Elite Society,2716,4,2,64.23
Plot Area,Ready To Move,Dahar Ka Balaji,4 BHK,Golden Horizon,1000,3,3,138.85
Built-up Area,Ready To Move,Mansarovar Ext.,1 BHK,Urban Estate,2028,2,0,237.81
Plot Area,Under Construction,Ajmer Road,5 BHK,Luxury Heights,1160,4,3,167.94
Super built-up Area,Ready To Move,Shyam Nagar,5 BHK,Prime Residency,3264,5,3,295.49
Super built-up Area,Ready To Move,Parasrampuri,3 BHK,Park View,1842,4,1,90.66
Built-up Area,Ready To Move,Chokdi Gangapol,5 BHK,City Heights,2854,5,3,92.77
Super built-up Area,Ready To Move,Ajmer Road,3 BHK,City Heights,2861,2,3,229.92
Built-up Area,Ready To Move,Dahar Ka Balaji,3 BHK,Elite Society,1905,3,3,124.75
Super built-up Area,Under Construction,Chokdi Gangapol,3 BHK,Golden Horizon,1688,2,1,214.23
Plot Area,Under Construction,Manchwa,4 BHK,Emerald Greens,3404,5,2,198.02
Plot Area,Ready To Move,Sita Vihar,5 BHK,Prime Residency,1006,4,3,40.91
Plot Area,Ready To Move,Malviya Nagar,3 BHK,Raj Villas,2072,2,1,198.8
Carpet Area,Ready To Move,Sirsi,1 BHK,Heritage Homes,833,1,0,38.71
Super built-up Area,Ready To Move,Parasrampuri,3 BHK,Metro Heights,884,2,3,71.44
Built-up Area,Ready To Move,Vaishali Nagar,5 BHK,Blue Haven,2117,5,3,131.46
Carpet Area,Ready To Move,Dahar Ka Balaji,1 BHK,Shyam Residency,1616,1,1,49.76
Built-up Area,Under Construction,Parasrampuri,1 BHK,Prime Residency,1495,1,0,114.31
Built-up Area,Ready To Move,Civil Lines,5 BHK,Urban Estate,2821,4,3,307.5
Carpet Area,Ready To Move,Bapu Nagar,2 BHK,Emerald Greens,1716,2,1,226.51
Plot Area,Ready To Move,Malviya Nagar,3 BHK,Urban Estate,3036,3,1,448.66
Super built-up Area,Under Construction,Parasrampuri,4 BHK,Heritage Homes,1236,4,3,176.31
Built-up Area,Ready To Move,Mansarovar Ext.,4 BHK,Park View,1114,3,3,99.73
Plot Area,Under Construction,Gandhi Path West,4 BHK,Metro Heights,1308,3,3,43.51
Carpet Area,Ready To Move,Sirsi,5 BHK,Elite Society,926,5,3,88.82
Plot Area,Ready To Move,Tagore Nagar,4 BHK,Royal Enclave,3098,4,3,235.33
Super built-up Area,Ready To Move,Tagore Nagar,2 BHK,Luxury Heights,3312,1,2,269.82
Super built-up Area,Ready To Move,Sirsi,2 BHK,Pearl Gardens,3192,2,1,379.51
Plot Area,Under Construction,Maniyawas,3 BHK,Shyam Residency,3780,3,2,522.75
Super built-up Area,Ready To Move,Sirsi,1 BHK,Shyam Residency,1261,1,0,89.53
Built-up Area,Under Construction,Mansarovar Ext.,5 BHK,Zenith Society,2846,4,3,380.29
Built-up Area,Under Construction,Mansarovar Ext.,4 BHK,Royal Enclave,1887,4,3,162.38
Plot Area,Ready To Move,Malviya Nagar,1 BHK,Raj Villas,4461,2,0,242.22
Built-up Area,Under Construction,Raja Park,3 BHK,Metro Heights,889,2,3,60.88
Super built-up Area,Under Construction,Gandhi Path West,1 BHK,Royal Enclave,982,1,0,119.2
Super built-up Area,Under Construction,Dahar Ka Balaji,5 BHK,Pearl Gardens,3393,4,3,283.13
Carpet Area,Ready To Move,Sirsi,2 BHK,Royal Enclave,961,1,1,52.18
Built-up Area,Ready To Move,Maniyawas,3 BHK,Raj Villas,2792,3,3,262.2
Super built-up Area,Ready To Move,Bapu Nagar,1 BHK,Prime Residency,2148,2,0,45.22
Carpet Area,Under Construction,Shyam Nagar,2 BHK,Heritage Homes,1121,2,1,125.38
Plot Area,Under Construction,Vaishali Nagar,2 BHK,Prime Residency,3471,3,1,257.33
Built-up Area,Ready To Move,Sirsi,2 BHK,Metro Heights,823,2,0,22.77
Super built-up Area,Ready To Move,Dahar Ka Balaji,2 BHK,Sapphire Residency,1702,1,0,43.55
Super built-up Area,Under Construction,Mansarovar Ext.,2 BHK,Emerald Greens,1112,1,2,141.33
Super built-up Area,Ready To Move,Parasrampuri,4 BHK,Golden Horizon,1090,5,3,161.6
Carpet Area,Ready To Move,Vaishali Nagar,2 BHK,Zenith Society,2372,2,1,92.21
Carpet Area,Under Construction,Ajmer Road,4 BHK,Blue Haven,2271,5,2,209.04
Carpet Area,Ready To Move,Raja Park,4 BHK,Shyam Residency,1262,5,3,85.69
Plot Area,Ready To Move,Maniyawas,3 BHK,Sapphire Residency,3953,3,1,425.13
Carpet Area,Under Construction,Malviya Nagar,1 BHK,Heritage Homes,2229,1,1,314.96
Plot Area,Under Construction,Hanuman Nagar,3 BHK,Blue Haven,4706,2,3,381.76
Built-up Area,Under Construction,Tagore Nagar,4 BHK,Zenith Society,2380,3,3,248.85
Built-up Area,Ready To Move,Bapu Nagar,2 BHK,Prime Residency,1825,3,1,147.88
Built-up Area,Ready To Move,Maniyawas,1 BHK,Park View,1312,2,0,83.21
Plot Area,Ready To Move,Bapu Nagar,1 BHK,Sapphire Residency,4710,2,0,488.44
Built-up Area,Ready To Move,Manchwa,2 BHK,Urban Estate,798,2,0,62.46
Plot Area,Under Construction,Malviya Nagar,4 BHK,Elite Society,3312,4,3,90.25
Plot Area,Ready To Move,Dahar Ka Balaji,3 BHK,Emerald Greens,1585,2,1,88.66
Plot Area,Under Construction,Manchwa,1 BHK,Golden Horizon,3098,2,0,326.25
Super built-up Area,Ready To Move,Sirsi,1 BHK,Urban Estate,1736,1,1,163.24
Super built-up Area,Ready To Move,Manchwa,2 BHK,Cosmopolitan Society,2259,3,0,110.49
Built-up Area,Ready To Move,Sirsi,1 BHK,Sunrise Apartments,2487,1,0,226.55
Super built-up Area,Ready To Move,Gandhi Path West,2 BHK,Green Meadows,3348,1,1,394.17
